,VALUE_Q1,GROWTH_Q10,MARKET_EW
2018-06-01,1.217970249428597,2.8228697395247955,1.6430005514827286
2018-07-01,1.2740138891379194,2.9248866845190795,1.7044071116953525
2018-08-01,1.3409868054039031,3.21359792228722,1.7665398952400084
2018-09-01,1.3489589807946691,3.1889679656723016,1.7900299566605826
2018-10-01,1.337012304123089,2.7480944150708444,1.6697454342617244
2018-11-01,1.3445911763880942,2.5778269269911904,1.6775808532493244
2018-12-01,1.2348084878736352,2.3463941126488055,1.54296865693492
2019-01-01,1.2888225016171988,2.6435105380150903,1.671919045029769
2019-02-01,1.3228063078822319,2.7551033918459935,1.72771255873406
2019-03-01,1.372840274032285,2.820243539463167,1.7623643740421555
2019-04-01,1.394605874560768,2.848122240980636,1.825112484373344
2019-05-01,1.3557032864743939,2.485620458235885,1.6957402544746418
2019-06-01,1.448670541837017,2.844457466555382,1.8313922982996447
2019-07-01,1.4383656419531459,2.914121972756529,1.8526987834088766
2019-08-01,1.542803189743676,2.7619322808919784,1.822175334152708
2019-09-01,1.5913636432212679,2.82647735696668,1.8534430148034742
2019-10-01,1.6024629010216027,3.258529115029154,1.9081153797406905
2019-11-01,1.6602540425748085,3.5589250148396303,1.991537845912864
2019-12-01,1.7077032993124188,3.9434150092787905,2.0557385381762123
2020-01-01,1.6190432583333147,4.497767664792205,2.0653883072773516
2020-02-01,1.5099572189144452,4.446154349938629,1.8881969555785165
2020-03-01,1.345393771873311,3.9389574470033812,1.6186281621567198
2020-04-01,1.4569730655761715,4.457833388842803,1.829221567378251
2020-05-01,1.5150511568069303,4.709537641800563,1.90992791417126
2020-06-01,1.4762329405795707,5.151980621195301,1.933265418285358
2020-07-01,1.5550864762449663,5.891221201203578,2.0123157376774063
2020-08-01,1.6877622029048944,7.317818561287347,2.193731829645098
2020-09-01,1.6919775467059275,6.856862055908834,2.115818589035964
2020-10-01,1.601640517807599,6.68963122260908,2.023378418442145
2020-11-01,1.8145971978013489,8.214609100359684,2.316841384371844
2020-12-01,1.8199402929103738,8.689888833638985,2.4072478389125553
2021-01-01,1.7760635200863086,8.822795862712287,2.353775760191791
2021-02-01,1.8302828330452707,8.897810652125202,2.4690084517641613
2021-03-01,1.9429950720773563,8.81042040369097,2.5931165526708355
2021-04-01,2.0168796820758716,9.325660842019404,2.697606993185987
2021-05-01,2.0629283336709374,9.312397312914076,2.744757256877428
2021-06-01,2.058718825445302,10.274184698062177,2.8060912159474385
2021-07-01,2.0916159262682115,10.525740489255602,2.841417323827616
2021-08-01,2.093636765625689,11.228602940048143,2.895715011140906
2021-09-01,1.9979753417817123,10.815860488757076,2.8252540746391737
2021-10-01,2.0007089646106957,12.97257621995049,2.9920205708667815
2021-11-01,1.9069377724919148,14.183031252794294,2.925266738031587
2021-12-01,1.9624517867356517,13.444089515251504,3.0266285573157115
2022-01-01,1.9823273466600067,11.89567143377559,2.953836960220411
2022-02-01,1.9197479039781788,11.824228426948915,2.8363994767559015
2022-03-01,1.9603683116444384,12.296857741295952,2.901409975241634
2022-04-01,1.8766238509757023,9.762617545849972,2.6358214214156104
2022-05-01,1.8753036522145268,9.90343748962708,2.6555394630053275
2022-06-01,1.7223074162669627,8.313379515241259,2.4220314869296327
2022-07-01,1.7199427542079482,9.977257409666187,2.6229146970878667
2022-08-01,1.6332845345278981,9.127668383849505,2.5344340094752447
2022-09-01,1.4596287070926932,7.727146668481284,2.291695033302079
2022-10-01,1.5929876771662106,7.924380721109955,2.5430309931750235
2022-11-01,1.7182909456657003,8.794995325547994,2.7071039079962356
2022-12-01,1.644005926345182,7.390175259488539,2.5554795249538493
2023-01-01,1.7899742493267141,9.064307889009223,2.753972702692953
2023-02-01,1.7183049169589049,9.911523708776427,2.6785292271055137
2023-03-01,1.7322306469000877,11.348856164810604,2.764995156983298
2023-04-01,1.7369147281299293,10.84504489621885,2.813313869936078
2023-05-01,1.595838368090606,12.978042535668225,2.77070059397764
2023-06-01,1.6561441664833865,14.176226825264742,2.932044271244619
2023-07-01,1.646224385251829,14.610423766148973,3.0383657827848563
2023-08-01,1.668495123758152,14.373487348469325,2.976646239100555
2023-09-01,1.5813104558362565,13.65876973443953,2.8411217633525245
2023-10-01,1.5845883183868976,12.926272904881008,2.783688507114326
2023-11-01,1.7384870277943107,15.020978356062388,3.0218931511054947
2023-12-01,1.7754137239528485,16.042121210296894,3.1543418085818957
2024-01-01,1.876963464122858,16.552226978504727,3.2013879975336796
2024-02-01,1.8829885732516856,18.93972524299969,3.3400251233531666
2024-03-01,1.991185259414522,19.17226888617368,3.466580569407268
2024-04-01,1.8436301657676564,18.917159204005216,3.303775001683879
2024-05-01,1.9261657471146851,20.28066863546907,3.3912679937631975
2024-06-01,1.911909006307286,21.25206838967063,3.4205719613274352
2024-07-01,1.9634824598605463,21.216479580779907,3.5155829427659735
2024-08-01,2.0289770127058793,21.180927530814937,3.582641017984864
2024-09-01,2.1183298290754013,23.06820449749462,3.6869764332285504
2024-10-01,2.0956896685906505,22.004626433687285,3.6494966284312067
2024-11-01,2.11503070006409,23.906927265322278,3.881274803169901
2024-12-01,1.9936176788823508,23.48007017609005,3.715665898823152
2025-01-01,1.9819816517990367,23.6432740261205,3.8634814520262615
2025-02-01,2.114754057885701,21.563057647459203,3.8407155138404443
2025-03-01,2.10645940913168,20.211076199437635,3.6481455312263043
2025-04-01,2.0235553547571796,20.605185020382947,3.5288244964109623
2025-05-01,2.0085985130244994,24.67451810675869,3.692950799487926
2025-06-01,2.0406008133496236,26.957235206405116,3.883673140708246
2025-07-01,1.9810755338516344,29.36390298604412,3.901867494065957
2025-08-01,2.0516729559360907,29.03122828901443,4.048154868695327
2025-09-01,1.979818952476887,31.847419860220356,4.138848523928884
2025-10-01,1.8379066632323329,35.87288768761889,4.198348899766787
2025-11-01,1.8597368926573274,33.9624675202831,4.132319507802588
